,,,mean,std,nd
23484201_back,20220712_060000,0,0.45071273344093293,0.5084958943442305,17995.0
23484201_back,20220712_060000,1,0.19463565108580805,0.21707228461720599,17994.0
23484201_back,20220712_060000,2,0.4117633577679769,0.4643093221500498,17990.0
23484201_back,20220712_060000,3,0.3530456520452388,0.45704727869418976,17992.0
23484201_back,20220712_060000,4,0.1773419524010065,0.24742440855054784,17989.0
23484201_back,20220712_060000,5,0.2132199635221343,0.31147133173079866,17992.0
23484201_back,20220712_060000,6,0.13391702897209556,0.2593458175033963,17976.0
23484201_back,20220712_060000,7,0.052535396425195356,0.07799101472791589,17972.0
23484201_back,20220712_060000,8,0.1707718712143181,0.38446086396473494,5973.0
23484201_back,20220713_060000,0,0.509836779603204,0.6148736951853782,17993.0
23484201_back,20220713_060000,1,0.4994493862023747,0.5921400045987036,17993.0
23484201_back,20220713_060000,2,0.48652156813832875,0.6027524769825674,17992.0
23484201_back,20220713_060000,3,0.10728774470173351,0.1804836617330864,17980.0
23484201_back,20220713_060000,4,0.15478802933307337,0.21950297355646645,17994.0
23484201_back,20220713_060000,5,0.21076680176910484,0.2916916741513962,17995.0
23484201_back,20220713_060000,6,0.188940196215887,0.3728207341084461,17976.0
23484201_back,20220713_060000,7,0.1758076792655228,0.24189143109595332,17989.0
23484201_back,20220713_060000,8,0.2058780112231312,0.3939013521587774,5978.0
23484201_back,20220714_060000,0,0.2770800343052102,0.3951443998713173,17998.0
23484201_back,20220714_060000,1,0.10293780066396385,0.22322168743706572,17788.0
23484201_back,20220714_060000,2,0.09238678766438119,0.20178542701434665,17928.0
23484201_back,20220714_060000,3,0.0880126221697153,0.20877878547199552,17786.0
23484201_back,20220714_060000,4,0.07145699392584084,0.14205486622535446,17972.0
23484201_back,20220714_060000,5,0.11528251569957082,0.20486192112763862,17972.0
23484201_back,20220714_060000,6,0.08409232065270812,0.24794132924739343,17686.0
23484201_back,20220714_060000,7,0.12821508062306672,0.2198846014049121,17986.0
23484201_back,20220714_060000,8,0.08672413583010176,0.26527989755107645,5971.0
23484201_back,20220715_060000,0,0.17442771012435818,0.2233964562616041,17998.0
23484201_back,20220715_060000,1,0.1613778262118612,0.2274043387200555,17971.0
23484201_back,20220715_060000,2,0.16569239639561392,0.24143389260430267,17964.0
23484201_back,20220715_060000,3,0.15990946429624384,0.2190134116286233,17994.0
23484201_back,20220715_060000,4,0.09028611623543042,0.19004989060298944,17985.0
23484201_back,20220715_060000,5,0.11237313471016436,0.20484946155802805,17952.0
23484201_back,20220715_060000,6,0.07374634242700663,0.21981090689315494,16849.0
23484201_back,20220715_060000,7,0.14470536303303153,0.3039720976738578,17989.0
23484201_back,20220715_060000,8,0.11960339568917673,0.3259033285866845,5978.0
23484201_back,20220716_060000,0,0.22654980171180578,0.3057814663099773,17998.0
23484201_back,20220716_060000,1,0.15559271794737173,0.2163148939381927,17980.0
23484201_back,20220716_060000,2,0.1177886748670604,0.21344580422462212,17994.0
23484201_back,20220716_060000,3,0.11619170469240496,0.248091318456995,17984.0
23484201_back,20220716_060000,4,0.16182548565154914,0.27780424181618585,17985.0
23484201_back,20220716_060000,5,0.13283755432801853,0.23223635598896838,17995.0
23484201_back,20220716_060000,6,0.1707936554423455,0.3503707980117445,17677.0
23484201_back,20220716_060000,7,0.12611091711438513,0.23950697537161927,17993.0
23484201_back,20220716_060000,8,0.12212769331123005,0.27821111199582516,5978.0
23484201_back,20220717_060000,0,0.23028362977433506,0.40494273792537683,17998.0
23484201_back,20220717_060000,1,0.11186116092050062,0.22365588149555563,17979.0
23484201_back,20220717_060000,2,0.10662840906583872,0.25829199649304324,17994.0
23484201_back,20220717_060000,3,0.1462392191636753,0.20046673865408174,17993.0
23484201_back,20220717_060000,4,0.14696443333769305,0.27956543376023985,17916.0
23484201_back,20220717_060000,5,0.06654171958221977,0.18874620898459582,17824.0
23484201_back,20220717_060000,6,0.1553521277180497,0.41078870976158904,17941.0
23484201_back,20220717_060000,7,0.1657450150865627,0.34417707560107647,17994.0
23484201_back,20220717_060000,8,0.13184427788518743,0.32234581350671027,5977.0
23484201_back,20220718_060000,0,0.17838887316220395,0.42978160195306797,17994.0
23484201_back,20220718_060000,1,0.16294959886385219,0.4438764226108222,17909.0
23484201_back,20220718_060000,2,0.2943042811226219,0.5474881147306878,17966.0
23484201_back,20220718_060000,3,0.16594769789672345,0.415715148164586,17977.0
23484201_back,20220718_060000,4,0.11430218285477567,0.21747909741431654,17993.0
23484201_back,20220718_060000,5,0.07439771518016551,0.19410397797811507,17982.0
23484201_back,20220718_060000,6,0.08648754176068287,0.24558690869470262,17966.0
23484201_back,20220718_060000,7,0.07127099788222012,0.13126856038598572,17984.0
